firstname,lastname,pitch_type,release_speed,horizontal_break,induced_vertical_break,Trunk_Lean_BR,Arm_Slot_Updated,Sho_AbAd_BR,Total Arm Angle,Arm_Slot_Bucket,abs_horizontal_break
Chase,Wernimont,FB,81.44801,-5.23663,17.48889,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,5.23663
Chase,Wernimont,CH,73.68874,-19.01147,16.64928,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,19.01147
Chase,Wernimont,FB,82.91233,-11.77765,19.77805,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,11.77765
Chase,Wernimont,FB,82.01298,-11.87686,15.84412,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,11.87686
Chase,Wernimont,CH,73.59821,-14.62809,19.92579,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,14.62809
Chase,Wernimont,FB,81.88658,-15.47504,18.19226,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,15.47504
Chase,Wernimont,FB,83.33532,-16.16068,16.37133,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,16.16068
Chase,Wernimont,CH,73.87308,-17.5162,15.17294,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,17.5162
Chase,Wernimont,FB,81.77027,-13.64545,21.71963,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,13.64545
Chase,Wernimont,FB,82.66561,-10.61344,12.92584,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,10.61344
Chase,Wernimont,CB,68.69134,18.23363,-9.05861,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.23363
Chase,Wernimont,FB,82.21078,-6.99023,18.22461,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,6.99023
Chase,Wernimont,FB,83.48186,-14.61307,18.39417,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,14.61307
Chase,Wernimont,CH,74.28616,-13.43154,17.07878,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,13.43154
Chase,Wernimont,FB,82.51137,-16.38303,20.41281,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,16.38303
Chase,Wernimont,FB,80.35781,-13.15659,15.4787,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,13.15659
Chase,Wernimont,FB,84.73746,-9.11246,20.11893,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,9.11246
Chase,Wernimont,FB,81.55899,-11.80641,22.17899,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,11.80641
Chase,Wernimont,CH,72.12927,-12.93012,13.41574,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,12.93012
Chase,Wernimont,CB,67.99474,20.45143,-11.52101,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,20.45143
Chase,Wernimont,FB,80.3615,-10.80031,16.44175,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,10.80031
Chase,Wernimont,CH,73.17467,-18.21946,16.78597,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.21946
Chase,Wernimont,FB,78.99136,-11.59314,23.39553,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,11.59314
Chase,Wernimont,CB,65.80847,14.97899,-9.56377,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,14.97899
Chase,Wernimont,CH,71.86821,-18.88462,15.90597,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.88462
Chase,Wernimont,FB,82.27998,-13.8337,20.78061,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,13.8337
Chase,Wernimont,FB,82.89295,-8.66432,22.13301,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,8.66432
Chase,Wernimont,FB,83.37814,-8.90191,21.14601,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,8.90191
Chase,Wernimont,FB,85.52718,-12.52388,20.41276,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,12.52388
Chase,Wernimont,FB,82.48097,-9.08738,17.003,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,9.08738
Chase,Wernimont,SL,70.91961,22.34688,-7.44014,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,22.34688
Chase,Wernimont,CB,69.98917,18.19982,-14.70582,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.19982
Chase,Wernimont,CB,71.00837,20.28138,-9.14097,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,20.28138
Chase,Wernimont,FB,84.53469,-14.0198,17.29815,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,14.0198
Chase,Wernimont,FB,83.81301,-13.84819,22.82383,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,13.84819
Chase,Wernimont,CB,69.52667,18.31136,-11.28382,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.31136
Chase,Wernimont,FB,85.52857,-8.70898,20.4905,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,8.70898
Chase,Wernimont,CB,70.50882,17.79385,-17.58586,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,17.79385
Chase,Wernimont,FB,85.8575,-15.82327,19.19362,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,15.82327
Chase,Wernimont,FB,83.8439,-9.15289,17.88829,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,9.15289
Chase,Wernimont,CB,70.10073,18.25714,-11.5083,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,18.25714
Chase,Wernimont,CB,69.57763,21.27855,-10.36865,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,21.27855
Chase,Wernimont,FB,85.44688,-15.74572,21.37539,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,15.74572
Chase,Wernimont,CB,65.72534,24.12358,-9.21979,-13.72342923076923,62.06908,90.47414384615385,41.65434923076923,3/4,24.12358
Ryan,Berry,FB,86.07512,14.42936,19.55767,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,14.42936
Ryan,Berry,SI,87.20694,19.10176,12.43926,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,19.10176
Ryan,Berry,FB,86.45143,17.71511,13.70485,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,17.71511
Ryan,Berry,CB,72.72413,-15.8608,-15.19993,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.8608
Ryan,Berry,CH,82.01124,18.22965,8.23027,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,18.22965
Ryan,Berry,FB,86.96749,15.10994,14.07119,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.10994
Ryan,Berry,CH,82.78507,15.10202,10.04713,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.10202
Ryan,Berry,CB,74.58593,-16.24304,-11.65779,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,16.24304
Ryan,Berry,SL,75.95176,-10.6436,-2.91808,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,10.6436
Ryan,Berry,SI,85.96868,11.13425,18.51757,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,11.13425
Ryan,Berry,CH,82.34512,17.74722,10.34164,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,17.74722
Ryan,Berry,CB,72.94008,-18.83718,-17.62753,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,18.83718
Ryan,Berry,SL,73.99156,-12.90885,-17.22153,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,12.90885
Ryan,Berry,SL,75.08122,-21.32628,-10.10738,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,21.32628
Ryan,Berry,SL,71.96364,-15.45636,-11.09949,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.45636
Ryan,Berry,CH,80.81402,14.75437,11.10518,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,14.75437
Ryan,Berry,SI,84.69574,15.1873,17.85732,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.1873
Ryan,Berry,SL,74.66954,-15.79342,-8.7908,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,15.79342
Ryan,Berry,SI,84.93235,13.26272,19.35399,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,13.26272
Ryan,Berry,FB,83.05265,14.12309,17.51301,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,14.12309
Ryan,Berry,CB,70.46444,-13.43305,-18.95538,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,13.43305
Ryan,Berry,SI,84.91976,18.5014,13.51645,-22.560268,62.34361466666667,86.12125866666666,50.21665333333334,HIGH 3/4,18.5014
